Date,Open,High,Low,Close
2-May-2017,15056.99,15078.58,14843.67,14902.64,
3-May-2017,14923.00,14971.55,14746.40,14757.24,
4-May-2017,14773.34,14879.35,14729.78,14766.70,
5-May-2017,14776.09,14840.82,14659.23,14695.96,
8-May-2017,14725.26,14799.60,14708.95,14783.58,
9-May-2017,14823.26,14832.87,14721.76,14767.23,
10-May-2017,14802.11,14969.72,14799.37,14906.40,
11-May-2017,14942.21,15032.85,14930.04,14987.96,
12-May-2017,14957.71,14981.42,14783.96,14888.69,
15-May-2017,14943.81,15080.56,14895.18,15047.11,
16-May-2017,15074.51,15136.81,15037.08,15077.01,
17-May-2017,15097.29,15104.80,15012.26,15032.04,
18-May-2017,14965.16,15024.68,14892.17,14904.64,
19-May-2017,14966.52,15008.31,14808.27,14858.05,
22-May-2017,14909.64,14926.14,14590.09,14614.14,
23-May-2017,14569.22,14578.97,14085.33,14216.70,
24-May-2017,14240.04,14240.04,13876.63,13940.99,
25-May-2017,13935.32,13939.35,13572.27,13694.96,
26-May-2017,13669.14,13838.02,13558.82,13590.94,
29-May-2017,13448.41,13448.41,13073.42,13216.63,
30-May-2017,13202.74,13544.46,13176.89,13517.81,
31-May-2017,13589.18,13650.51,13503.46,13563.80,
1-June-2017,13587.08,13911.66,13576.07,13722.43,
2-June-2017,13820.79,13929.93,13800.32,13875.55,
5-June-2017,13893.66,13953.10,13849.97,13867.96,
6-June-2017,13907.46,13925.28,13758.94,13803.09,
7-June-2017,13822.76,14020.72,13798.94,13951.60,
8-June-2017,13979.45,14253.83,13973.35,14180.15,
9-June-2017,14197.25,14254.92,14104.67,14227.90,
12-June-2017,14249.50,14322.52,14218.83,14264.35,
13-June-2017,14379.07,14416.08,14254.12,14268.48,
14-June-2017,14349.66,14355.33,14218.86,14242.68,
15-June-2017,14263.83,14433.91,14233.60,14365.72,
16-June-2017,14395.59,14429.33,14124.58,14147.85,
19-June-2017,14197.93,14199.71,14026.24,14080.61,
20-June-2017,14105.36,14163.85,14061.02,14083.72,
21-June-2017,14113.60,14127.03,14021.35,14065.56,
22-June-2017,14106.76,14184.30,14040.84,14055.75,
23-June-2017,14064.14,14141.66,13952.61,14019.53,
27-June-2017,14060.94,14138.74,13907.14,13980.60,
28-June-2017,13970.55,14024.72,13916.85,13997.82,
29-June-2017,14014.74,14059.52,13951.77,13984.74,
30-June-2017,14001.58,14214.02,13962.25,14190.58,
3-July-2017,14246.59,14274.37,14174.29,14227.01,
4-July-2017,14277.02,14343.53,14097.19,14122.48,
5-July-2017,14160.68,14248.24,14126.13,14220.48,
6-July-2017,14269.33,14336.54,14221.47,14237.91,
7-July-2017,14259.75,14458.11,14244.67,14383.86,
10-July-2017,14414.18,14591.86,14414.04,14547.21,
11-July-2017,14594.97,14632.60,14434.65,14453.17,
12-July-2017,14519.57,14551.36,14442.26,14516.04,
13-July-2017,14553.46,14641.15,14528.02,14573.14,
14-July-2017,14637.92,14768.51,14621.72,14702.79,
