Date,Open,High,Low,Close
4-May-2015,9861.94,9982.75,9849.04,9952.05,
5-May-2015,9968.61,10256.18,9903.15,10236.64,
6-May-2015,10234.11,10279.87,9889.19,9912.25,
7-May-2015,9948.24,9948.24,9795.73,9875.88,
8-May-2015,9923.86,9989.00,9889.18,9952.55,
11-May-2015,10041.85,10286.05,10041.85,10202.97,
12-May-2015,10217.27,10220.35,9878.58,9900.20,
13-May-2015,9900.26,9982.99,9773.12,9913.47,
14-May-2015,9915.00,10004.55,9848.53,9988.56,
15-May-2015,9954.95,9974.38,9844.21,9883.52,
18-May-2015,9906.57,9973.89,9900.81,9951.27,
19-May-2015,9961.87,10041.99,9900.01,9994.09,
20-May-2015,9996.63,10005.22,9903.36,9916.79,
21-May-2015,9897.98,9920.81,9815.97,9877.63,
22-May-2015,9872.83,9904.36,9828.31,9860.34,
25-May-2015,9844.53,9844.53,9676.15,9692.88,
26-May-2015,9701.79,9732.10,9657.07,9687.76,
27-May-2015,9653.39,9733.70,9626.92,9713.98,
28-May-2015,9721.14,9772.52,9616.00,9677.17,
29-May-2015,9676.08,9778.34,9633.79,9728.35,
1-June-2015,9720.78,9806.73,9699.11,9715.44,
2-June-2015,9730.90,9745.77,9489.07,9510.68,
3-June-2015,9528.71,9543.06,9326.17,9397.95,
4-June-2015,9427.60,9440.90,9191.43,9293.52,
5-June-2015,9304.49,9552.56,9297.20,9458.78,
8-June-2015,9480.05,9552.41,9277.59,9294.88,
9-June-2015,9270.74,9421.53,9221.32,9370.41,
10-June-2015,9373.59,9459.56,9360.64,9434.32,
11-June-2015,9453.39,9495.21,9296.22,9318.55,
12-June-2015,9288.18,9308.61,9150.78,9186.40,
15-June-2015,9249.02,9261.47,9115.68,9129.68,
16-June-2015,9149.97,9159.61,9075.77,9140.60,
17-June-2015,9201.09,9286.63,9132.57,9211.62,
18-June-2015,9242.24,9258.72,9172.59,9194.22,
19-June-2015,9237.45,9333.38,9192.47,9235.97,
22-June-2015,9270.74,9392.07,9270.16,9340.47,
23-June-2015,9365.29,9552.23,9354.42,9500.08,
24-June-2015,9564.39,9578.83,9307.87,9350.99,
25-June-2015,9347.05,9408.75,9308.81,9385.36,
26-June-2015,9371.45,9399.27,9271.15,9300.33,
29-June-2015,9227.10,9227.10,9037.66,9176.79,
30-June-2015,9183.76,9355.46,9178.09,9335.29,
1-July-2015,9362.38,9479.05,9353.75,9437.41,
2-July-2015,9455.56,9483.75,9342.49,9378.44,
3-July-2015,9393.39,9405.14,9222.54,9239.77,
6-July-2015,9177.13,9194.34,9062.73,9182.94,
7-July-2015,9203.61,9286.32,9172.63,9190.86,
8-July-2015,9140.78,9140.78,8765.25,8833.51,
9-July-2015,8859.58,8893.70,8779.81,8791.98,
10-July-2015,8857.56,8915.72,8814.67,8871.54,
13-July-2015,8909.33,8927.03,8787.97,8915.69,
14-July-2015,8934.94,9008.93,8920.67,8978.53,
15-July-2015,9034.83,9072.36,8985.47,8998.91,
16-July-2015,9049.60,9072.98,9006.82,9039.64,
17-July-2015,9064.57,9070.21,8964.27,8998.78,
20-July-2015,9043.98,9051.89,8935.98,8953.16,
21-July-2015,8961.54,8988.08,8823.84,8847.79,
22-July-2015,8804.93,8940.80,8771.65,8931.99,
23-July-2015,8881.34,8953.38,8868.11,8885.13,
24-July-2015,8894.52,8927.27,8760.97,8771.92,
27-July-2015,8757.93,8757.93,8537.57,8571.10,
28-July-2015,8565.25,8596.39,8479.32,8508.88,
29-July-2015,8548.19,8588.21,8482.00,8539.36,
30-July-2015,8598.05,8607.90,8498.42,8522.84,
31-July-2015,8562.14,8711.89,8560.92,8668.37,
3-August-2015,8689.04,8695.67,8551.90,8574.51,
4-August-2015,8583.78,8855.79,8565.99,8805.33,
5-August-2015,8852.03,8982.40,8786.84,8802.19,
6-August-2015,8808.56,8836.03,8732.81,8753.68,
7-August-2015,8803.96,8823.76,8660.09,8672.80,
10-August-2015,8703.75,8721.66,8545.38,8582.80,
11-August-2015,8586.28,8602.76,8257.18,8280.50,
12-August-2015,8312.87,8317.32,7853.81,7918.87,
13-August-2015,7949.40,8007.33,7678.16,7700.89,
14-August-2015,7711.13,7825.07,7630.01,7806.25,
17-August-2015,7818.99,7935.57,7709.36,7908.07,
18-August-2015,7857.95,7995.41,7700.28,7756.17,
19-August-2015,7769.33,7773.83,7635.69,7652.66,
20-August-2015,7635.33,7667.42,7453.87,7469.58,
21-August-2015,7410.89,7436.39,7310.98,7400.37,
24-August-2015,7205.36,7228.12,6808.98,6868.73,
25-August-2015,6940.10,7171.29,6774.28,7146.03,
26-August-2015,7142.04,7257.60,7027.29,7162.40,
27-August-2015,7271.26,7386.81,7212.12,7345.07,
28-August-2015,7499.18,7521.28,7335.63,7401.72,
31-August-2015,7380.33,7499.51,7276.07,7446.07,
1-September-2015,7366.87,7423.21,7108.60,7204.79,
2-September-2015,7253.31,7289.59,7071.52,7108.43,
3-September-2015,7169.08,7332.29,7124.98,7281.31,
4-September-2015,7255.65,7263.56,7050.96,7116.66,
7-September-2015,7162.85,7172.79,6939.09,6952.36,
8-September-2015,6976.39,7176.71,6939.93,7114.17,
9-September-2015,7288.37,7418.36,7201.40,7366.15,
10-September-2015,7295.22,7336.17,7198.73,7309.71,
11-September-2015,7371.98,7383.34,7171.27,7197.95,
14-September-2015,7218.47,7404.94,7188.36,7392.64,
15-September-2015,7436.58,7436.58,7199.13,7219.43,
16-September-2015,7300.13,7319.64,7210.47,7244.56,
18-September-2015,7311.23,7378.35,7247.12,7291.21,
21-September-2015,7260.81,7320.27,7188.25,7285.60,
22-September-2015,7311.52,7314.01,6962.33,6976.62,
23-September-2015,6906.46,7023.49,6824.32,6983.60,
24-September-2015,6973.12,6976.50,6858.49,6887.73,
28-September-2015,6908.44,6930.04,6683.46,6708.35,
29-September-2015,6637.69,6653.78,6513.66,6611.32,
30-September-2015,6701.20,6850.94,6701.20,6833.72,
1-October-2015,6899.96,6902.58,6799.25,6825.40,
5-October-2015,6872.72,7013.18,6827.62,6995.40,
6-October-2015,7057.53,7165.64,7012.34,7145.23,
7-October-2015,7141.50,7381.26,7101.83,7342.28,
8-October-2015,7364.90,7434.00,7296.73,7366.14,
9-October-2015,7408.32,7514.57,7408.27,7439.05,
12-October-2015,7508.76,7686.63,7495.03,7541.97,
13-October-2015,7464.73,7560.52,7438.91,7548.28,
14-October-2015,7526.53,7669.78,7508.46,7525.78,
15-October-2015,7552.94,7665.74,7533.81,7631.11,
16-October-2015,7646.90,7674.51,7532.91,7598.49,
19-October-2015,7618.68,7654.21,7536.75,7556.16,
20-October-2015,7553.71,7559.11,7405.88,7420.11,
21-October-2015,7417.40,7548.06,7397.74,7507.28,
23-October-2015,7576.63,7610.77,7513.62,7531.82,
26-October-2015,7570.55,7621.80,7470.42,7479.17,
27-October-2015,7469.61,7484.05,7374.30,7443.24,
28-October-2015,7431.38,7466.68,7386.33,7439.13,
29-October-2015,7484.41,7484.41,7358.96,7376.22,
30-October-2015,7366.73,7495.60,7279.17,7307.74,
2-November-2015,7354.34,7354.34,7149.36,7214.59,
3-November-2015,7239.48,7318.18,7196.08,7218.18,
4-November-2015,7271.63,7306.17,7228.05,7247.42,
5-November-2015,7256.82,7259.23,7166.92,7182.51,
6-November-2015,7149.14,7181.98,7059.56,7153.74,
9-November-2015,7051.60,7195.09,6954.73,7147.19,
10-November-2015,7135.10,7135.10,6922.75,6948.37,
11-November-2015,7009.56,7046.70,7007.45,7017.09,
13-November-2015,7001.69,7095.63,6961.14,7064.16,
16-November-2015,7033.80,7094.39,6943.79,7080.37,
17-November-2015,7106.46,7195.60,7106.46,7153.04,
18-November-2015,7154.75,7196.17,6993.32,7043.47,
19-November-2015,7072.69,7123.78,7027.81,7107.26,
20-November-2015,7133.88,7181.90,7102.17,7112.31,
23-November-2015,7112.36,7119.99,7006.51,7026.23,
24-November-2015,7001.18,7070.20,6991.65,7015.98,
26-November-2015,7031.10,7145.37,7030.58,7091.34,
27-November-2015,7110.19,7229.70,7089.73,7143.43,
30-November-2015,7137.06,7195.58,7105.55,7118.40,
1-December-2015,7139.37,7365.58,7135.54,7344.58,
2-December-2015,7382.23,7427.76,7341.55,7373.81,
3-December-2015,7359.58,7359.58,7257.82,7273.96,
4-December-2015,7252.73,7331.42,7216.77,7280.08,
7-December-2015,7374.19,7388.33,7211.40,7224.23,
8-December-2015,7197.16,7197.16,6973.89,6989.50,
9-December-2015,6958.44,6973.81,6746.18,6774.65,
10-December-2015,6789.86,6904.48,6789.86,6886.60,
11-December-2015,6918.74,6982.31,6871.21,6902.75,
14-December-2015,6897.65,7091.59,6864.30,7068.35,
15-December-2015,7103.21,7112.50,7024.85,7052.92,
16-December-2015,7070.29,7122.78,7048.99,7074.22,
17-December-2015,7086.11,7259.10,7084.52,7247.93,
18-December-2015,7241.27,7263.65,7165.14,7183.67,
21-December-2015,7167.70,7327.60,7167.70,7289.15,
22-December-2015,7280.13,7324.51,7203.47,7216.27,
23-December-2015,7255.34,7369.70,7255.34,7351.10,
24-December-2015,7408.78,7454.11,7369.45,7406.16,
28-December-2015,7439.13,7448.00,7306.80,7349.43,
29-December-2015,7372.54,7389.38,7308.32,7318.49,
30-December-2015,7350.12,7402.87,7330.62,7338.65,
31-December-2015,7374.71,7418.28,7319.38,7397.96,
1-January-2016,7415.08,7459.91,7363.59,7445.96,
4-January-2016,7438.26,7517.22,7304.16,7352.72,
5-January-2016,7378.58,7548.38,7336.20,7514.49,
6-January-2016,7522.82,7522.82,7371.35,7402.93,
7-January-2016,7322.55,7322.55,7102.72,7127.88,
8-January-2016,7163.13,7218.16,7023.02,7123.44,
11-January-2016,7059.07,7125.30,6913.36,7094.78,
12-January-2016,7091.72,7149.89,6980.45,7029.46,
13-January-2016,7059.47,7119.32,6860.47,7005.52,
14-January-2016,6873.54,6997.44,6794.29,6922.45,
15-January-2016,6967.72,6986.85,6719.77,6741.65,
18-January-2016,6729.57,6846.13,6638.61,6667.03,
19-January-2016,6696.65,6718.00,6575.76,6671.92,
20-January-2016,6614.72,6614.72,6353.30,6466.35,
21-January-2016,6534.76,6570.39,6363.96,6386.11,
22-January-2016,6458.40,6677.93,6452.99,6661.68,
25-January-2016,6713.90,6808.49,6711.68,6766.95,
27-January-2016,6790.16,6815.90,6721.36,6789.62,
28-January-2016,6776.91,6853.06,6729.70,6773.43,
29-January-2016,6779.85,6947.14,6779.85,6894.01,
1-February-2016,6907.07,6967.26,6799.23,6947.69,
2-February-2016,6977.20,6995.17,6617.52,6647.17,
3-February-2016,6590.29,6677.63,6479.63,6512.27,
4-February-2016,6545.60,6717.63,6544.15,6673.88,
5-February-2016,6673.61,6941.72,6627.29,6898.53,
8-February-2016,6947.71,7025.83,6811.92,6839.94,
9-February-2016,6742.16,6800.25,6642.65,6671.14,
10-February-2016,6633.80,6689.85,6515.04,6666.71,
11-February-2016,6659.22,6660.19,6334.56,6412.38,
12-February-2016,6468.59,6575.70,6169.41,6332.43,
15-February-2016,6448.70,6964.50,6447.00,6888.93,
16-February-2016,6950.19,6973.32,6726.94,6768.91,
17-February-2016,6764.50,6809.30,6572.60,6790.60,
18-February-2016,6873.73,6936.14,6753.91,6866.71,
19-February-2016,6834.67,6898.30,6772.22,6872.10,
22-February-2016,6901.30,6947.60,6868.42,6910.78,
23-February-2016,6921.89,6973.70,6773.79,6789.70,
24-February-2016,6688.71,6715.93,6596.05,6611.83,
25-February-2016,6638.30,6714.86,6604.50,6638.67,
26-February-2016,6694.37,6770.38,6637.58,6749.02,
29-February-2016,6780.61,6909.41,6657.41,6759.24,
1-March-2016,6788.87,6940.10,6763.23,6927.50,
2-March-2016,6993.72,7108.55,6979.56,6998.33,
3-March-2016,7072.28,7291.15,7064.04,7281.65,
4-March-2016,7316.07,7461.90,7256.72,7438.53,
8-March-2016,7543.60,7649.81,7506.97,7564.98,
9-March-2016,7446.67,7515.59,7393.80,7504.80,
10-March-2016,7557.85,7633.90,7512.46,7532.07,
11-March-2016,7530.28,7586.22,7429.93,7479.94,
