Date,Open,High,Low,Close
03-01-2022,17387.15,17646.65,17383.3,17625.7
04-01-2022,17681.4,17827.6,17593.55,17805.25
05-01-2022,17820.1,17944.7,17748.85,17925.25
06-01-2022,17768.5,17797.95,17655.55,17745.9
07-01-2022,17797.6,17905,17704.55,17812.7
10-01-2022,17913.3,18017.45,17879.15,18003.3
11-01-2022,17997.75,18081.25,17964.4,18055.75
12-01-2022,18170.4,18227.95,18128.8,18212.35
13-01-2022,18257,18272.25,18163.8,18257.8
14-01-2022,18185,18286.95,18119.65,18255.75
17-01-2022,18235.65,18321.55,18228.75,18308.1
18-01-2022,18337.2,18350.95,18085.9,18113.05
19-01-2022,18129.2,18129.2,17884.9,17938.4
20-01-2022,17921,17943.7,17648.45,17757
21-01-2022,17613.7,17707.6,17485.85,17617.15
24-01-2022,17575.15,17599.4,16997.85,17149.1
25-01-2022,17001.55,17309.15,16836.8,17277.95
27-01-2022,17062,17182.5,16866.75,17110.15
28-01-2022,17208.3,17373.5,17077.1,17101.95
31-01-2022,17301.05,17410,17264.15,17339.85
01-02-2022,17529.45,17622.4,17244.55,17576.85
02-02-2022,17706.2,17794.6,17674.8,17780
03-02-2022,17767.75,17781.15,17511.15,17560.2
04-02-2022,17590.2,17617.8,17462.55,17516.3
07-02-2022,17456.3,17536.75,17119.4,17213.6
08-02-2022,17279.85,17306.45,17043.65,17266.75
09-02-2022,17370.1,17477.15,17339,17463.8
10-02-2022,17554.1,17639.45,17427.15,17605.85
11-02-2022,17451,17454.75,17303,17374.75
14-02-2022,17076.15,17099.5,16809.65,16842.8
15-02-2022,16933.25,17375,16839.25,17352.45
16-02-2022,17408.45,17490.6,17257.7,17322.2
17-02-2022,17396.55,17442.9,17235.85,17304.6
18-02-2022,17236.05,17380.8,17219.2,17276.3
21-02-2022,17192.25,17351.05,17070.7,17206.65
22-02-2022,16847.95,17148.55,16843.8,17092.2
23-02-2022,17194.5,17220.7,17027.85,17063.25
24-02-2022,16548.9,16705.25,16203.25,16247.95
25-02-2022,16515.65,16748.8,16478.3,16658.4
28-02-2022,16481.6,16815.9,16356.3,16793.9
02-03-2022,16593.1,16678.5,16478.65,16605.95
03-03-2022,16723.2,16768.95,16442.95,16498.05
04-03-2022,16339.45,16456,16133.8,16245.35
07-03-2022,15867.95,15944.6,15711.45,15863.15
08-03-2022,15747.75,16028.75,15671.45,16013.45
09-03-2022,16078,16418.05,15990,16345.35
10-03-2022,16757.1,16757.3,16447.9,16594.9
11-03-2022,16528.8,16694.4,16470.9,16630.45
14-03-2022,16633.7,16887.95,16606.5,16871.3
15-03-2022,16900.65,16927.75,16555,16663
16-03-2022,16876.65,16987.9,16837.85,16975.35
17-03-2022,17202.9,17344.6,17175.75,17287.05
21-03-2022,17329.5,17353.35,17096.4,17117.6
22-03-2022,17120.4,17334.4,17006.3,17315.5
23-03-2022,17405.05,17442.4,17199.6,17245.65
24-03-2022,17094.95,17291.75,17091.15,17222.75
25-03-2022,17289,17294.9,17076.55,17153
28-03-2022,17181.85,17235.1,17003.9,17222
29-03-2022,17297.2,17343.65,17235.7,17325.3
30-03-2022,17468.15,17522.5,17387.2,17498.25
31-03-2022,17519.2,17559.8,17435.2,17464.75
01-04-2022,17436.9,17703.7,17422.7,17670.45
04-04-2022,17809.1,18114.65,17791.4,18053.4
05-04-2022,18080.6,18095.45,17921.55,17957.4
06-04-2022,17842.75,17901,17779.85,17807.65
07-04-2022,17723.3,17787.5,17623.7,17639.55
08-04-2022,17698.15,17842.75,17600.55,17784.35
11-04-2022,17740.9,17779.05,17650.95,17674.95
12-04-2022,17584.85,17595.3,17442.35,17530.3
13-04-2022,17599.9,17663.65,17457.4,17475.65
18-04-2022,17183.45,17237.75,17067.85,17173.65
19-04-2022,17258.95,17275.65,16824.7,16958.65
20-04-2022,17045.25,17186.9,16978.95,17136.55
21-04-2022,17234.6,17414.7,17215.5,17392.6
22-04-2022,17242.75,17315.3,17149.2,17171.95
25-04-2022,17009.05,17054.3,16888.7,16953.95
26-04-2022,17121.3,17223.85,17064.45,17200.8
27-04-2022,17073.35,17110.7,16958.45,17038.4
28-04-2022,17189.5,17322.5,17071.05,17245.05
29-04-2022,17329.25,17377.65,17053.25,17102.55
02-05-2022,16924.45,17092.25,16917.25,17069.1
04-05-2022,17096.6,17132.85,16623.95,16677.6
05-05-2022,16854.75,16945.7,16651.85,16682.65
06-05-2022,16415.55,16484.2,16340.9,16411.25
09-05-2022,16227.7,16403.7,16142.1,16301.85
10-05-2022,16248.9,16404.55,16197.3,16240.05
11-05-2022,16270.05,16318.75,15992.6,16167.1
12-05-2022,16021.1,16041.95,15735.75,15808
13-05-2022,15977,16083.6,15740.85,15782.15
16-05-2022,15845.1,15977.95,15739.65,15842.3
17-05-2022,15912.6,16284.25,15900.8,16259.3
18-05-2022,16318.15,16399.8,16211.2,16240.3
19-05-2022,15917.4,15984.75,15775.2,15809.4
20-05-2022,16043.8,16283.05,16003.85,16266.15
23-05-2022,16290.95,16414.7,16185.75,16214.7
24-05-2022,16225.55,16262.8,16078.6,16125.15
25-05-2022,16196.35,16223.35,16006.95,16025.8
26-05-2022,16105,16204.45,15903.7,16170.15
27-05-2022,16296.6,16370.6,16221.95,16352.45
